,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2390,2006-540,Wimbledon,Grass,128,G,20060626,126,104745,2,,Rafael Nadal,L,185,ESP,20,104571,18,,Marcos Baghdatis,R,183,CYP,21,6-1 7-5 6-3,5,SF,147,4,0,103,75,52,16,14,9,9,3,2,89,49,32,19,14,6,11,2,4545,16,1494
2391,2006-540,Wimbledon,Grass,128,G,20060626,127,103819,1,,Roger Federer,R,185,SUI,24.8,104745,2,,Rafael Nadal,L,185,ESP,20,6-0 7-6(5) 6-7(2) 6-3,5,F,178,13,1,119,83,64,20,20,1,3,9,3,127,94,64,14,19,4,10,1,7260,2,4545
2287,2007-540,Wimbledon,Grass,128,G,20070625,125,103819,1,,Roger Federer,R,185,SUI,25.8,104755,12,,Richard Gasquet,R,185,FRA,21,7-5 6-3 6-4,5,SF,104,20,0,90,64,50,17,16,3,3,4,1,89,56,37,20,15,1,4,1,7290,14,1775
2288,2007-540,Wimbledon,Grass,128,G,20070625,126,104745,2,,Rafael Nadal,L,185,ESP,21,104925,4,,Novak Djokovic,R,188,SRB,20,3-6 6-1 4-1 RET,5,SF,101,4,0,55,32,25,13,10,1,2,7,2,77,50,33,11,11,6,10,2,5225,5,3010
2289,2007-540,Wimbledon,Grass,128,G,20070625,127,103819,1,,Roger Federer,R,185,SUI,25.8,104745,2,,Rafael Nadal,L,185,ESP,21,7-6(7) 4-6 7-6(3) 2-6 6-2,5,F,225,24,3,156,111,79,28,25,7,11,1,2,167,118,81,28,25,5,8,1,7290,2,5225
2181,2008-540,Wimbledon,Grass,128,G,20080623,125,103819,1,,Roger Federer,R,185,SUI,26.8,103498,,,Marat Safin,R,193,RUS,28.4,6-3 7-6(3) 6-4,5,SF,103,15,0,90,60,46,24,16,2,2,13,0,93,62,46,17,15,3,5,1,6900,75,530
2182,2008-540,Wimbledon,Grass,128,G,20080623,126,104745,2,,Rafael Nadal,L,185,ESP,22,102783,,,Rainer Schuettler,R,180,GER,32.1,6-1 7-6(3) 6-4,5,SF,122,6,1,75,60,49,10,14,1,2,3,0,89,60,39,13,15,7,12,2,5755,94,472
2183,2008-540,Wimbledon,Grass,128,G,20080623,127,104745,2,,Rafael Nadal,L,185,ESP,22,103819,1,,Roger Federer,R,185,SUI,26.8,6-4 6-4 6-7(5) 6-7(8) 9-7,5,F,288,6,3,218,160,111,34,30,12,13,25,2,195,127,92,39,30,9,13,2,5755,1,6900
2184,2009-540,Wimbledon,Grass,128,G,20090622,125,104053,6,,Andy Roddick,R,188,USA,26.8,104918,3,,Andy Murray,R,190,GBR,22.1,6-4 4-6 7-6(7) 7-6(5),5,SF,187,21,1,137,102,79,18,22,5,7,25,5,146,75,62,38,22,3,5,6,4310,3,9230
2185,2009-540,Wimbledon,Grass,128,G,20090622,126,103819,2,,Roger Federer,R,185,SUI,27.8,103163,24,,Tommy Haas,R,188,GER,31.2,7-6(3) 7-5 6-3,5,SF,123,11,1,83,62,55,17,17,0,0,11,5,110,72,53,17,16,6,8,2,10620,34,1405
